hs_idx,position,split,is_correct,n,dec_hits1,dec_hits5,dec_mrr,lens_hits1,lens_hits5
20,final_prompt_token,val,True,1601,0.01561524047470331,0.13741411617738913,0.11176806541186032,0.056214865708931916,0.20861961274203622
20,final_prompt_token,val,False,2474,0.02021018593371059,0.13136620856911885,0.11031923282564482,0.0582053354890865,0.24818108326596605
20,final_prompt_token,test,True,1492,0.03284182305630027,0.1467828418230563,0.127473812004085,0.05630026809651475,0.26273458445040215
20,final_prompt_token,test,False,2341,0.013669372063220846,0.10850064075181547,0.10074816833935302,0.07774455360956856,0.24647586501495086
24,final_prompt_token,val,True,1601,0.06683322923173017,0.30730793254216116,0.20248170087986414,0.2848219862585884,0.6795752654590881
24,final_prompt_token,val,False,2474,0.04890864995957963,0.23888439773645917,0.1679421406234278,0.18431689571544058,0.5767987065481003
24,final_prompt_token,test,True,1492,0.05227882037533512,0.2620643431635389,0.18195977847756986,0.32171581769436997,0.7453083109919572
24,final_prompt_token,test,False,2341,0.037590773173857325,0.20290474156343444,0.14980636870119823,0.20632208457923965,0.5839384878257156
26,final_prompt_token,val,True,1601,0.08557151780137415,0.31480324797001874,0.2172853844376279,0.4853216739537789,0.8332292317301686
26,final_prompt_token,val,False,2474,0.06305578011317704,0.2550525464834276,0.1818571676343228,0.2890056588520614,0.6867421180274859
26,final_prompt_token,test,True,1492,0.05630026809651475,0.30831099195710454,0.19602223879231098,0.5093833780160858,0.8719839142091153
26,final_prompt_token,test,False,2341,0.04698846646732166,0.23152498932080307,0.16581012150582183,0.3233660828705681,0.7227680478428022
27,final_prompt_token,val,True,1601,0.07432854465958776,0.2816989381636477,0.19884698674165774,0.594628357276702,0.9188007495315428
27,final_prompt_token,val,False,2474,0.050121261115602264,0.22150363783346808,0.1626880579327186,0.36742118027485854,0.7704122877930477
27,final_prompt_token,test,True,1492,0.05093833780160858,0.2593833780160858,0.17853865847432668,0.6266756032171582,0.9410187667560321
27,final_prompt_token,test,False,2341,0.03887227680478428,0.20076890217855617,0.15034327270282377,0.3746262281076463,0.792823579666809
28,final_prompt_token,val,True,1601,0.08182386008744534,0.35165521549031853,0.22359137262658257,0.6139912554653342,0.9156777014366021
28,final_prompt_token,val,False,2474,0.05254648342764753,0.27202910266774455,0.17961855137657248,0.34397736459175426,0.7611156022635408
28,final_prompt_token,test,True,1492,0.057640750670241284,0.3163538873994638,0.1988850602930367,0.6032171581769437,0.9128686327077749
28,final_prompt_token,test,False,2341,0.04527979495941905,0.24263135412217002,0.16616075295765226,0.3391712943186672,0.7740281930798804
27,answer_prefix,val,True,1601,0.07370393504059962,0.2835727670206121,0.19954151844035842,0.5409119300437226,0.8994378513429107
27,answer_prefix,val,False,2474,0.0444624090541633,0.22797089733225545,0.16038754939811084,0.31244947453516575,0.7493936944219887
27,answer_prefix,test,True,1492,0.048927613941018765,0.25804289544235925,0.17457905394841955,0.5663538873994638,0.9222520107238605
27,answer_prefix,test,False,2341,0.03929944468175993,0.20162323793250747,0.15041165647455063,0.3583938487825716,0.78684322938915
28,answer_prefix,val,True,1601,0.08369768894440974,0.3579013116801999,0.22566877745812622,0.5146783260462211,0.8906933166770769
28,answer_prefix,val,False,2474,0.058609539207760714,0.2809215844785772,0.1898122324168637,0.28213419563459985,0.7255456750202102
28,answer_prefix,test,True,1492,0.06099195710455764,0.3304289544235925,0.20423921034203635,0.57171581769437,0.8894101876675603
28,answer_prefix,test,False,2341,0.0448526270824434,0.25630072618539085,0.1701224059415414,0.33319094404100813,0.7492524562152926
