hs_idx,position,auc,n
-1,confounds_only,0.5890629393289971,12792
0,entity_last,0.5166518714272543,12792
4,entity_last,0.5101467512874205,12792
8,entity_last,0.5170442725722364,12792
12,entity_last,0.5275853723048148,12792
16,entity_last,0.5285115651290955,12792
20,entity_last,0.5337883562448046,12792
22,entity_last,0.5192643224072285,12792
24,entity_last,0.5156789408185134,12792
25,entity_last,0.5194248417100964,12792
26,entity_last,0.5173095690340603,12792
27,entity_last,0.5253439328502391,12792
28,entity_last,0.5257567472828099,12792
0,question_last,0.5032794298087738,13956
4,question_last,0.5488971404371181,13956
8,question_last,0.5378245991330834,13956
12,question_last,0.5499143136262632,13956
16,question_last,0.5609847840995288,13956
20,question_last,0.5610871280896573,13956
22,question_last,0.5631979153754235,13956
24,question_last,0.5564118118178625,13956
25,question_last,0.583901513891554,13956
26,question_last,0.5456576457262381,13956
27,question_last,0.5579995002282112,13956
28,question_last,0.564495846922919,13956
0,answer_prefix,0.4952194480847917,13956
4,answer_prefix,0.5390758288784819,13956
8,answer_prefix,0.5446644413944762,13956
12,answer_prefix,0.5508934293436875,13956
16,answer_prefix,0.5781154452298017,13956
20,answer_prefix,0.5703276157550351,13956
22,answer_prefix,0.5679442487805824,13956
24,answer_prefix,0.5350082877638612,13956
25,answer_prefix,0.5364118683111176,13956
26,answer_prefix,0.5309273781255082,13956
27,answer_prefix,0.5399839061100501,13956
28,answer_prefix,0.5542216831689467,13956
0,final_prompt_token,0.4952194480847917,13956
4,final_prompt_token,0.5254704477125534,13956
8,final_prompt_token,0.5468498401423247,13956
12,final_prompt_token,0.5148418622342212,13956
16,final_prompt_token,0.5816216362389538,13956
20,final_prompt_token,0.5819740981732224,13956
22,final_prompt_token,0.5763759510023252,13956
24,final_prompt_token,0.5543521192939289,13956
25,final_prompt_token,0.5403385630379722,13956
26,final_prompt_token,0.5417493947775889,13956
27,final_prompt_token,0.5555037376612842,13956
28,final_prompt_token,0.5482934198620207,13956
