category,answer_type,n_groups,cos_to_global
Arts,CLASSIFICATION,10,0.8332638740539551
Arts,LOCATION,9,0.8453163504600525
Arts,PERSON,17,0.6330234408378601
Arts,TITLE,9,0.7660874128341675
Arts,WORK_OF_ART,20,0.7663820385932922
Everyday Life,EVENT,11,0.7685108184814453
Everyday Life,ORGANIZATION,16,-0.2362716645002365
Geography,LOCATION,23,0.42069026827812195
Geography,PERSON,8,-0.4690522849559784
History,EVENT,14,0.7572832107543945
History,LOCATION,8,-0.3406027853488922
History,ORGANIZATION,12,0.8147093057632446
History,PERSON,13,0.7909231185913086
People,EVENT,11,0.7889722585678101
People,PERSON,23,0.8859753608703613
People,WORK_OF_ART,8,0.08735880255699158
Philosophy & Religion,IDEA,11,0.5197763442993164
Philosophy & Religion,PERSON,16,0.7743098735809326
Philosophy & Religion,WORK_OF_ART,10,0.8234575986862183
Science,CLASSIFICATION,10,0.6481178998947144
Science,IDEA,14,0.7652126550674438
Science,LOCATION,10,0.6119751930236816
Science,ORGANISM,22,0.5455183386802673
Science,SUBSTANCE,15,0.8656480312347412
Society,CLASSIFICATION,8,0.8695123195648193
Society,LAW,11,0.8925526142120361
Society,ORGANIZATION,11,0.4088691771030426
Society,PERSON,12,0.039933882653713226
Technology,ORGANIZATION,15,0.7770646810531616
Technology,PERSON,9,0.46955540776252747
Technology,PRODUCT,21,0.7852247953414917
