phase,condition,n,n_facts,d_margin,d_margin_lo,d_margin_hi,d_logp_gold,d_logp_gold_lo,d_logp_gold_hi,d_entropy,d_entropy_lo,d_entropy_hi,exact_match_rate,exact_flip_up,copied_donor_rate,exact_flip_down
val,matched,600,70,1.7960200696840734,0.7075888183505407,2.905728597071792,3.926547639545057,2.0591040282246738,6.007405489545101,-0.015884512461964373,-0.25064429061116544,0.2046079967428144,0.47333333333333333,0.47,0.0,
val,mismatched_rand,600,70,-4.86975808804594,-6.355108034326108,-3.514630181633495,-10.371718879175157,-11.897126090953028,-8.719093089443112,-0.1590758130538817,-0.40421130073555606,0.06808247427980198,0.12,0.12,0.05333333333333334,
val,mismatched_type,600,70,-5.137861080590718,-6.7482458987596,-3.5257685012881694,-9.74771050455627,-11.594145376761972,-7.920867744242392,-0.24344985011621126,-0.48044867873980673,-0.029190432673170546,0.13333333333333333,0.13166666666666665,0.06666666666666667,
val,random_noise,600,70,-1.0754841728505398,-1.5147149151018215,-0.658844103577754,1.9290492099709171,1.3244441656285701,2.5882608387781767,0.3545308462038814,0.2149483964011713,0.5044612216115487,0.08,0.07833333333333334,0.0,
val,reverse,600,70,-1.662882980106033,-2.7970202262267514,-0.5674078663829621,-3.479685872772297,-5.541588547171419,-1.617089626616003,0.04466310508982342,-0.18860129774670056,0.2860950242235043,,,0.0,0.5566666666666666
test,matched,1200,130,1.3422994385434024,0.47992863095637656,2.207545004471196,3.3080139898040843,1.823905139528329,4.670126208945235,-0.06238373813350154,-0.18857101816724217,0.06415439274098972,0.4558333333333333,0.44916666666666666,0.0,
test,mismatched_rand,1200,130,-4.051129521998991,-5.164112564161748,-3.01292286231833,-10.15530803759218,-11.383236213616895,-8.960273239784382,-0.021737818149367105,-0.16375793405118547,0.11876924608625695,0.09666666666666666,0.09583333333333334,0.03333333333333333,
test,mismatched_type,1200,130,-3.8906682552710206,-5.29020959669031,-2.6505347009943265,-7.881857664092649,-9.307284863487437,-6.505441063650098,0.04890137638492679,-0.08925508225145301,0.1951320846584735,0.11916666666666667,0.11666666666666667,0.08333333333333333,
test,noop,1200,130,0.0186563915666738,-0.0013184577259761374,0.03915514895878862,0.014040169133753421,-0.0032476378417350283,0.03249222609045779,8.365062192543003e-05,-0.0033427595672780716,0.0037710304215659496,0.01,0.006666666666666667,0.0,
test,random_noise,1200,130,-0.5865103740914107,-0.9091798867483268,-0.2648485140543685,2.5970697031212073,2.1052980558402594,3.091128843921816,0.4923784493818912,0.38587747657169336,0.6049840482235787,0.07833333333333334,0.07583333333333334,0.0,
test,reverse,1200,130,-1.1412368970902713,-1.9758597804260079,-0.2960230293880542,-2.7678704787110804,-4.107044845803514,-1.3160928845644222,0.07877653334732947,-0.04704809094496815,0.20304859200189526,,,0.0,0.485
