feature,auc,auc_within_bin_mean,spearman_log_gbc,spearman_qlen,freq,mean_direct,mean_reasoning,mean_unstable,mean_non
88965,0.758,0.749,0.133,-0.13,1.0,28.63,26.18,25.82,23.23
58264,0.739,0.732,0.121,-0.189,0.962,11.77,10.64,10.71,9.12
42514,0.667,0.653,0.186,0.029,0.713,11.78,11.88,10.15,7.47
74364,0.644,0.633,0.054,-0.167,0.999,12.17,11.64,11.43,11.1
67270,0.634,0.627,0.133,-0.047,0.161,2.97,1.88,1.05,0.55
37652,0.369,0.377,-0.052,-0.061,1.0,40.78,44.11,43.83,47.49
19936,0.625,0.618,0.074,-0.03,0.993,14.48,13.67,13.71,12.89
50501,0.406,0.414,-0.159,-0.035,0.167,0.45,0.64,0.94,1.99
6698,0.409,0.416,-0.067,-0.005,0.389,1.98,2.34,3.06,3.3
122678,0.411,0.412,-0.093,0.032,0.127,0.15,0.48,0.46,1.34
116261,0.417,0.412,0.025,0.092,0.365,2.5,3.35,2.98,4.14
78068,0.419,0.421,-0.029,-0.072,0.598,4.46,4.98,4.92,5.88
