hs_idx,rep,view,fvu,auc2,bacc4,nnz
20,direct_prompt,latents_z,1.015,0.8028,0.3489,
20,direct_prompt,recon_hhat,1.015,0.7279,0.3298,
20,direct_prompt,residual,1.015,0.771,0.3497,
20,direct_prompt,latents_L1,1.015,0.7788,,10.6
20,cot_prompt,latents_z,4.8,0.7873,0.3395,
20,cot_prompt,recon_hhat,4.8,0.7603,0.3363,
20,cot_prompt,residual,4.8,0.7472,0.3256,
20,cot_prompt,latents_L1,4.8,0.7852,,8.8
20,direct_answer,latents_z,0.488,0.8644,0.3915,
20,direct_answer,recon_hhat,0.488,0.8127,0.3764,
20,direct_answer,residual,0.488,0.8461,0.3946,
20,direct_answer,latents_L1,0.488,0.81,,13.6
20,zdelta_cot-direct,latents_z,,0.796,0.3472,
24,direct_prompt,latents_z,0.331,0.8173,0.3594,
24,direct_prompt,recon_hhat,0.331,0.7344,0.3435,
24,direct_prompt,residual,0.331,0.7625,0.3292,
24,direct_prompt,latents_L1,0.331,0.8056,,10.4
24,cot_prompt,latents_z,3.773,0.7807,0.3365,
24,cot_prompt,recon_hhat,3.773,0.7458,0.3302,
24,cot_prompt,residual,3.773,0.7387,0.3231,
24,cot_prompt,latents_L1,3.773,0.7798,,10.8
24,direct_answer,latents_z,0.5,0.8239,0.3651,
24,direct_answer,recon_hhat,0.5,0.7485,0.3423,
24,direct_answer,residual,0.5,0.8448,0.3883,
24,direct_answer,latents_L1,0.5,0.7718,,10.0
24,zdelta_cot-direct,latents_z,,0.8233,0.3656,
